263;PULSAR 220 F;2275;220F;45;BAJAJ;11;Bajaj
11234;BJ1021MF2;53;Camioneta C\D;54;BAW;12;BAW
11234;BJ1021MF2;54;Furgoneta 15 PAX;54;BAW;12;BAW
313;BJ1044P4L5Y;55;Mudan MD 1044 3 Ton.;54;BAW;12;BAW
313;BJ1044P4L5Y;2648;Mudan MD 1044 2 Ton.;54;BAW;12;BAW
313;BJ1044P4L5Y;2649;Mudan MD 1044 4 Ton.;54;BAW;12;BAW
313;BJ1044P4L5Y;2650;Mudan MD 1044 6 Ton.;54;BAW;12;BAW
11235;3000;56;3000;634;BAYLINER;13;Bayliner
11236;245;2826;245;634;BAYLINER;13;Bayliner
427;525 I;57;525i;64;BMW;15;BMW
428;528 I;58;528i;64;BMW;15;BMW
457;GS800;59;GS 800;64;BMW;15;BMW
10828;120I;60;120i;64;BMW;15;BMW
478;X5 3.0 SI;61;X5 3.0i;64;BMW;15;BMW
487;F650 GS;62;F650 GS;64;BMW;15;BMW
379;G 650 X CHALLENGE;63;G-650 Xchallenge;64;BMW;15;BMW
371;530 I;64;530i;64;BMW;15;BMW
11120;320I;65;320i;64;BMW;15;BMW
11237;740;66;740i;64;BMW;15;BMW
435;850 I               ;67;850i;64;BMW;15;BMW
497;Z4;68;Z4;64;BMW;15;BMW
439;320 I;69;320;64;BMW;15;BMW
469;2002 TI;70;2002 ti;64;BMW;15;BMW
461;325 IS †††††††††††††;71;325is;64;BMW;15;BMW
460;R1150GS ††††††††††††;72;R 1150 GS;64;BMW;15;BMW
434;ALPINA B6 2.8       ;73;Alpina;64;BMW;15;BMW
11238;750;74;750i;64;BMW;15;BMW
429;735;75;735il;64;BMW;15;BMW
426;520;76;520;64;BMW;15;BMW
11239;450 GSX ENDURO;77;450 GSX Enduro;64;BMW;15;BMW
401;335I CP;78;335i;64;BMW;15;BMW
446;M3;79;M3;64;BMW;15;BMW
383;HP2 ENDURO;80;HP2;64;BMW;15;BMW
381;520I;81;520i;64;BMW;15;BMW
422;128I;82;128i;64;BMW;15;BMW
11240;F560 CS;83;F650 CS;64;BMW;15;BMW
11241;635 CSI;84;635i;64;BMW;15;BMW
436;316 I               ;85;316i;64;BMW;15;BMW
452;X3;86;X3;64;BMW;15;BMW
436;316 I               ;87;316;64;BMW;15;BMW
368;318 TI;88;318ti;64;BMW;15;BMW
11242;F650GS DAKAR;89;Dakar;64;BMW;15;BMW
422;318I;90;318i;64;BMW;15;BMW
399;325 I;91;325i M Technic;64;BMW;15;BMW
391;K1200S;92;K1200S;64;BMW;15;BMW
471;330I;93;330i;64;BMW;15;BMW
496;135 I;94;135i;64;BMW;15;BMW
11243;K 1200 RS;95;K 1200 RS;64;BMW;15;BMW
11244;1602;96;1602;64;BMW;15;BMW
11245;535;97;535i;64;BMW;15;BMW
376;523I;98;523i;64;BMW;15;BMW
464;330 CI;99;330 ci;64;BMW;15;BMW
11246;R1100RS;100;R1100RS;64;BMW;15;BMW
412;335 CI;101;335ci;64;BMW;15;BMW
399;325 i;102;325i;64;BMW;15;BMW
425;323 I               ;103;323i;64;BMW;15;BMW
